Year,State,Healthcare_Spending_Per_Capita,Death_Rate_Per_100000,Alzheimers_Disease,Cancer,Diabetes,Heart_Disease,Influenza_and_Pneumonia,Cancer_Deaths_Per_100000,Diabetes_Deaths_Per_100000,Heart_Disease_Deaths_Per_100000,Influenza_Pneumonia_Deaths_Per_100000,Alzheimers_Disease_Deaths_Per_100000,Percent_Adults_Smoke,Percent_Adults_Physical_Activity,Percent_Adults_Obese,Median_Household_Income,Percent_Poverty_Rate
2019,NE,9917,973.3,768,3482,540,3540,355,147.4,23,144.9,14.5,30.3,0.147,0.731,0.341,61160,0.103
2019,NH,11310,830.7,511,2819,363,2707,194,147.4,19.3,143.4,10.3,27.8,0.159,0.783,0.318,73070,0.075
2019,NJ,11264,937.3,2629,15698,1934,18716,1270,136.5,16.7,158,10.9,21.7,0.115,0.754,0.276,86900,0.092
2019,NM,8459,844.5,568,3614,673,4245,347,131.9,25.4,158.2,13.2,21.3,0.16,0.746,0.317,87730,0.177
2019,NV,8114,877.3,678,5434,836,6864,458,149,23.1,198.1,13.3,21.6,0.157,0.742,0.306,70030,0.13
2019,NY,12932,930.5,3753,33655,4564,43806,4286,132.9,18,166.6,16.5,13.7,0.127,0.728,0.271,53110,0.129
2019,OH,10173,879.5,5234,25170,3873,29160,1930,163,25.4,188.8,12.6,33.6,0.208,0.717,0.348,64660,0.13
2019,OK,8923,1058.4,1775,8309,1306,10960,640,173,28,231.4,13.7,37.9,0.189,0.66,0.368,59400,0.155
2019,OR,9635,1034.4,1992,8080,1266,7128,487,145,22.9,131,9,37.2,0.145,0.761,0.29,74410,0.115
2019,PA,11175,886,4150,27746,3654,32299,2483,153.5,20.4,172.9,13.4,21.2,0.173,0.744,0.332,70580,0.121
2019,RI,10988,1046.6,456,2210,265,2404,178,153.6,18.3,159.3,11.7,28.9,0.133,0.735,0.3,70150,0.107
2019,SC,8345,968.1,2323,10487,1610,10579,686,154,24.4,164,10.8,37.9,0.175,0.712,0.354,62030,0.138
2019,SD,11627,989.8,495,1737,287,1840,187,153.4,26.8,158.1,15.9,40.5,0.183,0.7,0.33,64260,0.11
2019,TN,8827,934.8,3252,14382,2161,16814,1332,167,25.9,202.8,16.2,41.1,0.199,0.699,0.365,56630,0.139
2019,TX,8028,1053.3,10101,41489,6889,46139,3158,141.4,23.6,163.4,11.3,38.6,0.147,0.728,0.34,67440,0.136
2019,UT,7193,701.3,980,3289,692,3882,300,117.2,25,146.5,11.2,39,0.079,0.815,0.292,84520,0.094
2019,VA,8826,954.5,2631,15045,2350,15062,1100,144.9,22.8,149.1,11,26.9,0.14,0.747,0.319,74310,0.099
2019,VT,12159,584.4,315,1378,136,1368,52,150.4,15.5,151.6,5.8,35.1,0.151,0.8,0.266,81310,0.102
2019,WA,8964,823.9,3585,12960,1842,11862,877,143.4,20.5,134.8,10,42.2,0.126,0.808,0.283,82450,0.097
2019,WI,9652,1305.9,2390,11505,1548,12241,758,149.6,20.2,158.8,10,30.5,0.154,0.768,0.342,53710,0.097
